05/08/2022 16:53:55 ID_DIPENDENTE;MATRICOLA;ID_PERSONA;OLD_DIR;NEW_DIR;DESC_NUOVA_DIR
05/08/2022 16:58:36 560087117;791165;981319256;604012175;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:58:39 692043064;745574;175412119;604012175;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:58:41 765866520;560700;910557806;604012175;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:58:42 779583074;510910;41352392;604012175;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:58:43 810499007;450960;56986273;1913183748;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:58:45 901783796;630875;28255046;604012175;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:58:45 925583280;322379;51842214;1913183748;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:58:46 948153538;066435;90319336;526011912;15;RAI PER IL SOCIALE
05/08/2022 16:58:47 982894526;157077;264385081;604012175;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:58:50 1063903964;230579;813433170;1913183748;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:58:53 1153813563;304540;97411633;1;24;OFFERTA ESTERO
05/08/2022 16:58:53 1165540837;207985;580664161;604012175;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:58:54 1187035610;947040;218515337;1913183748;34647567;FICTION
05/08/2022 16:58:56 1240381879;708290;236405373;1913183748;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:58:58 1317810731;215495;77113629;604012175;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:58:59 1373436495;882080;77087880;604012175;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:58:59 1374281480;894240;823969602;604012175;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:59:01 1426812999;089248;887566029;388376689;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:59:02 1470955865;593263;181950391;2353467;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:59:05 1626270360;482833;931653944;27;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:59:07 1676027890;010517;504376331;604012175;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:59:08 1691766311;178230;435003877;1913183748;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:59:09 1717103666;987775;320091611;388376689;17;DISTRIBUZIONE
05/08/2022 16:59:10 1748122349;805795;462161005;604012175;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:59:11 1766578213;765656;715213418;604012175;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:59:12 1829881723;863945;110811858;604012175;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:59:14 1887240972;889080;336825133;1913183748;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:59:15 1918354567;284175;368517518;604012175;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:59:18 2023166769;975420;801740132;604012175;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:59:19 2075165456;630473;459215880;2353467;183549;CULTURA ED EDUCATIONAL
05/08/2022 16:59:22 76279739;861307;202422619;604012175;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:59:23 178872750;047270;57794631;604012175;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:59:29 916291089;664961;171449722;604012175;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:59:31 1043688597;551051;793368041;604012175;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:59:32 1074350550;733910;719490289;1913183748;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:59:33 1197143333;362965;471545577;27;3;INTRATTENIMENTO DAY TIME
05/08/2022 16:59:34 1331018658;512880;775133848;1835183485;1521333190;GOVERNANCE E SEGRET.SOCIETARIA
05/08/2022 16:59:43 241593373;861698;756361305;2044072755;26;APPROFONDIMENTO
05/08/2022 16:59:46 603784870;116465;340135694;2044072755;4;INTRATTENIMENTO DAY TIME
05/08/2022 16:59:47 770337098;294019;601151764;786604644;20;RAI PER IL SOCIALE
05/08/2022 16:59:51 1225635674;105657;278641463;22;4;INTRATTENIMENTO DAY TIME
05/08/2022 16:59:52 1294085310;144454;269141794;26;4;INTRATTENIMENTO DAY TIME
05/08/2022 16:59:52 1327751876;240995;9397269;2044072755;4;INTRATTENIMENTO DAY TIME
05/08/2022 16:59:53 1342186552;284424;716634462;554720361;183550;CULTURA ED EDUCATIONAL
05/08/2022 16:59:56 1738907452;555755;161292494;2044072755;4;INTRATTENIMENTO DAY TIME
05/08/2022 16:59:56 1743881879;388985;176237345;2044072755;4;INTRATTENIMENTO DAY TIME
05/08/2022 16:59:59 2042679556;532919;251713992;2044072755;4;INTRATTENIMENTO DAY TIME
05/08/2022 17:01:51 ID_DIPENDENTE;MATRICOLA;ID_PERSONA;OLD_DIR;NEW_DIR;DESC_NUOVA_DIR
05/08/2022 17:03:58 ID_DIPENDENTE;MATRICOLA;ID_PERSONA;OLD_DIR;NEW_DIR;DESC_NUOVA_DIR
