05/08/2022 16:55:02 ID_DIPENDENTE:1197143333, ID_DIREZIONE_VECCHIA: 27, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:55:03 ID_DIPENDENTE:1331018658, ID_DIREZIONE_VECCHIA: 1835183485, ID_DIREZIONE_NUOVA: 1521333190
05/08/2022 16:55:11 ID_DIPENDENTE:241593373, ID_DIREZIONE_VECCHIA: 2044072755, ID_DIREZIONE_NUOVA: 26
05/08/2022 16:55:13 ID_DIPENDENTE:603784870, ID_DIREZIONE_VECCHIA: 2044072755, ID_DIREZIONE_NUOVA: 4
05/08/2022 16:55:14 ID_DIPENDENTE:770337098, ID_DIREZIONE_VECCHIA: 786604644, ID_DIREZIONE_NUOVA: 20
05/08/2022 16:55:17 ID_DIPENDENTE:1225635674, ID_DIREZIONE_VECCHIA: 22, ID_DIREZIONE_NUOVA: 4
05/08/2022 16:55:18 ID_DIPENDENTE:1294085310, ID_DIREZIONE_VECCHIA: 26, ID_DIREZIONE_NUOVA: 4
05/08/2022 16:55:18 ID_DIPENDENTE:1327751876, ID_DIREZIONE_VECCHIA: 2044072755, ID_DIREZIONE_NUOVA: 4
05/08/2022 16:55:18 ID_DIPENDENTE:1342186552, ID_DIREZIONE_VECCHIA: 554720361, ID_DIREZIONE_NUOVA: 183550
05/08/2022 16:55:20 ID_DIPENDENTE:1738907452, ID_DIREZIONE_VECCHIA: 2044072755, ID_DIREZIONE_NUOVA: 4
05/08/2022 16:55:20 ID_DIPENDENTE:1743881879, ID_DIREZIONE_VECCHIA: 2044072755, ID_DIREZIONE_NUOVA: 4
05/08/2022 16:55:22 ID_DIPENDENTE:2042679556, ID_DIREZIONE_VECCHIA: 2044072755, ID_DIREZIONE_NUOVA: 4
05/08/2022 16:58:23 ID_DIPENDENTE:86116013, ID_DIREZIONE_VECCHIA: 1913183748, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:58:25 ID_DIPENDENTE:128911695, ID_DIREZIONE_VECCHIA: 1913183748, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:58:27 ID_DIPENDENTE:221904203, ID_DIREZIONE_VECCHIA: 1913183748, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:58:30 ID_DIPENDENTE:361920666, ID_DIREZIONE_VECCHIA: 604012175, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:58:31 ID_DIPENDENTE:378238996, ID_DIREZIONE_VECCHIA: 1913183748, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:58:33 ID_DIPENDENTE:438289374, ID_DIREZIONE_VECCHIA: 604012175, ID_DIREZIONE_NUOVA: 2353467
05/08/2022 16:58:36 ID_DIPENDENTE:555699252, ID_DIREZIONE_VECCHIA: 604012175, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:58:36 ID_DIPENDENTE:556632086, ID_DIREZIONE_VECCHIA: 604012175, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:58:36 ID_DIPENDENTE:560087117, ID_DIREZIONE_VECCHIA: 604012175, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:58:39 ID_DIPENDENTE:692043064, ID_DIREZIONE_VECCHIA: 604012175, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:58:41 ID_DIPENDENTE:765866520, ID_DIREZIONE_VECCHIA: 604012175, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:58:42 ID_DIPENDENTE:779583074, ID_DIREZIONE_VECCHIA: 604012175, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:58:43 ID_DIPENDENTE:810499007, ID_DIREZIONE_VECCHIA: 1913183748, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:58:45 ID_DIPENDENTE:901783796, ID_DIREZIONE_VECCHIA: 604012175, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:58:45 ID_DIPENDENTE:925583280, ID_DIREZIONE_VECCHIA: 1913183748, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:58:46 ID_DIPENDENTE:948153538, ID_DIREZIONE_VECCHIA: 526011912, ID_DIREZIONE_NUOVA: 15
05/08/2022 16:58:47 ID_DIPENDENTE:982894526, ID_DIREZIONE_VECCHIA: 604012175, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:58:50 ID_DIPENDENTE:1063903964, ID_DIREZIONE_VECCHIA: 1913183748, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:58:53 ID_DIPENDENTE:1153813563, ID_DIREZIONE_VECCHIA: 1, ID_DIREZIONE_NUOVA: 24
05/08/2022 16:58:53 ID_DIPENDENTE:1165540837, ID_DIREZIONE_VECCHIA: 604012175, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:58:54 ID_DIPENDENTE:1187035610, ID_DIREZIONE_VECCHIA: 1913183748, ID_DIREZIONE_NUOVA: 34647567
05/08/2022 16:58:56 ID_DIPENDENTE:1240381879, ID_DIREZIONE_VECCHIA: 1913183748, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:58:58 ID_DIPENDENTE:1317810731, ID_DIREZIONE_VECCHIA: 604012175, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:58:59 ID_DIPENDENTE:1373436495, ID_DIREZIONE_VECCHIA: 604012175, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:58:59 ID_DIPENDENTE:1374281480, ID_DIREZIONE_VECCHIA: 604012175, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:59:01 ID_DIPENDENTE:1426812999, ID_DIREZIONE_VECCHIA: 388376689, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:59:02 ID_DIPENDENTE:1470955865, ID_DIREZIONE_VECCHIA: 2353467, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:59:05 ID_DIPENDENTE:1626270360, ID_DIREZIONE_VECCHIA: 27, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:59:07 ID_DIPENDENTE:1676027890, ID_DIREZIONE_VECCHIA: 604012175, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:59:08 ID_DIPENDENTE:1691766311, ID_DIREZIONE_VECCHIA: 1913183748, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:59:09 ID_DIPENDENTE:1717103666, ID_DIREZIONE_VECCHIA: 388376689, ID_DIREZIONE_NUOVA: 17
05/08/2022 16:59:10 ID_DIPENDENTE:1748122349, ID_DIREZIONE_VECCHIA: 604012175, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:59:11 ID_DIPENDENTE:1766578213, ID_DIREZIONE_VECCHIA: 604012175, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:59:12 ID_DIPENDENTE:1829881723, ID_DIREZIONE_VECCHIA: 604012175, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:59:14 ID_DIPENDENTE:1887240972, ID_DIREZIONE_VECCHIA: 1913183748, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:59:15 ID_DIPENDENTE:1918354567, ID_DIREZIONE_VECCHIA: 604012175, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:59:18 ID_DIPENDENTE:2023166769, ID_DIREZIONE_VECCHIA: 604012175, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:59:19 ID_DIPENDENTE:2075165456, ID_DIREZIONE_VECCHIA: 2353467, ID_DIREZIONE_NUOVA: 183549
05/08/2022 16:59:22 ID_DIPENDENTE:76279739, ID_DIREZIONE_VECCHIA: 604012175, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:59:23 ID_DIPENDENTE:178872750, ID_DIREZIONE_VECCHIA: 604012175, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:59:29 ID_DIPENDENTE:916291089, ID_DIREZIONE_VECCHIA: 604012175, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:59:31 ID_DIPENDENTE:1043688597, ID_DIREZIONE_VECCHIA: 604012175, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:59:32 ID_DIPENDENTE:1074350550, ID_DIREZIONE_VECCHIA: 1913183748, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:59:33 ID_DIPENDENTE:1197143333, ID_DIREZIONE_VECCHIA: 27, ID_DIREZIONE_NUOVA: 3
05/08/2022 16:59:34 ID_DIPENDENTE:1331018658, ID_DIREZIONE_VECCHIA: 1835183485, ID_DIREZIONE_NUOVA: 1521333190
05/08/2022 16:59:43 ID_DIPENDENTE:241593373, ID_DIREZIONE_VECCHIA: 2044072755, ID_DIREZIONE_NUOVA: 26
05/08/2022 16:59:46 ID_DIPENDENTE:603784870, ID_DIREZIONE_VECCHIA: 2044072755, ID_DIREZIONE_NUOVA: 4
05/08/2022 16:59:47 ID_DIPENDENTE:770337098, ID_DIREZIONE_VECCHIA: 786604644, ID_DIREZIONE_NUOVA: 20
05/08/2022 16:59:51 ID_DIPENDENTE:1225635674, ID_DIREZIONE_VECCHIA: 22, ID_DIREZIONE_NUOVA: 4
05/08/2022 16:59:52 ID_DIPENDENTE:1294085310, ID_DIREZIONE_VECCHIA: 26, ID_DIREZIONE_NUOVA: 4
05/08/2022 16:59:52 ID_DIPENDENTE:1327751876, ID_DIREZIONE_VECCHIA: 2044072755, ID_DIREZIONE_NUOVA: 4
05/08/2022 16:59:53 ID_DIPENDENTE:1342186552, ID_DIREZIONE_VECCHIA: 554720361, ID_DIREZIONE_NUOVA: 183550
05/08/2022 16:59:56 ID_DIPENDENTE:1738907452, ID_DIREZIONE_VECCHIA: 2044072755, ID_DIREZIONE_NUOVA: 4
05/08/2022 16:59:56 ID_DIPENDENTE:1743881879, ID_DIREZIONE_VECCHIA: 2044072755, ID_DIREZIONE_NUOVA: 4
05/08/2022 16:59:59 ID_DIPENDENTE:2042679556, ID_DIREZIONE_VECCHIA: 2044072755, ID_DIREZIONE_NUOVA: 4
